iso;country;language;id;region1;region2;region3;region4;locality;postcode;suburb;latitude;longitude;elevation;iso2;fips;nuts;hasc;stat;timezone;utc;dst
GB;United Kingdom;EN;1031007952;England;South West England;City of Bristol;;Arnos Vale;BS4 3AP;;51.441487;-2.561809;24;GB-BST;UKB7;UKK11;GB.BS;E06000023;Europe/London;+00:00;+01:00
GB;United Kingdom;EN;1029815012;England;South West England;City of Bristol;;Arnos Vale;BS4 3AQ;;51.443955;-2.564616;11;GB-BST;UKB7;UKK11;GB.BS;E06000023;Europe/London;+00:00;+01:00
GB;United Kingdom;EN;1029815013;England;South West England;City of Bristol;;Arnos Vale;BS4 3AR;;51.443956;-2.564616;11;GB-BST;UKB7;UKK11;GB.BS;E06000023;Europe/London;+00:00;+01:00
GB;United Kingdom;EN;1029815015;England;South West England;City of Bristol;;Arnos Vale;BS4 3AS;;51.443990;-2.564565;12;GB-BST;UKB7;UKK11;GB.BS;E06000023;Europe/London;+00:00;+01:00
GB;United Kingdom;EN;1029815017;England;South West England;City of Bristol;;Arnos Vale;BS4 3AW;;51.443955;-2.564616;11;GB-BST;UKB7;UKK11;GB.BS;E06000023;Europe/London;+00:00;+01:00
GB;United Kingdom;EN;1031129822;England;South West England;City of Bristol;;Arnos Vale;BS4 3AX;;51.443912;-2.562328;12;GB-BST;UKB7;UKK11;GB.BS;E06000023;Europe/London;+00:00;+01:00
GB;United Kingdom;EN;1019347295;England;South West England;City of Bristol;;Arnos Vale;BS4 3BD;;51.443289;-2.560996;13;GB-BST;UKB7;UKK11;GB.BS;E06000023;Europe/London;+00:00;+01:00
GB;United Kingdom;EN;1019347296;England;South West England;City of Bristol;;Arnos Vale;BS4 3EA;;51.443116;-2.566994;17;GB-BST;UKB7;UKK11;GB.BS;E06000023;Europe/London;+00:00;+01:00
GB;United Kingdom;EN;1019347297;England;South West England;City of Bristol;;Arnos Vale;BS4 3EH;;51.443308;-2.568148;10;GB-BST;UKB7;UKK11;GB.BS;E06000023;Europe/London;+00:00;+01:00
GB;United Kingdom;EN;1019347298;England;South West England;City of Bristol;;Arnos Vale;BS4 3EN;;51.442669;-2.568370;21;GB-BST;UKB7;UKK11;GB.BS;E06000023;Europe/London;+00:00;+01:00
GB;United Kingdom;EN;1019347299;England;South West England;City of Bristol;;Arnos Vale;BS4 3EQ;;51.442578;-2.570326;27;GB-BST;UKB7;UKK11;GB.BS;E06000023;Europe/London;+00:00;+01:00
GB;United Kingdom;EN;1019347300;England;South West England;City of Bristol;;Arnos Vale;BS4 3ES;;51.443070;-2.563569;15;GB-BST;UKB7;UKK11;GB.BS;E06000023;Europe/London;+00:00;+01:00
GB;United Kingdom;EN;1019347301;England;South West England;City of Bristol;;Arnos Vale;BS4 3ET;;51.443035;-2.563195;16;GB-BST;UKB7;UKK11;GB.BS;E06000023;Europe/London;+00:00;+01:00
GB;United Kingdom;EN;1019347302;England;South West England;City of Bristol;;Arnos Vale;BS4 3EU;;51.442352;-2.563244;20;GB-BST;UKB7;UKK11;GB.BS;E06000023;Europe/London;+00:00;+01:00
GB;United Kingdom;EN;1019347303;England;South West England;City of Bristol;;Arnos Vale;BS4 3EW;;51.442545;-2.564225;21;GB-BST;UKB7;UKK11;GB.BS;E06000023;Europe/London;+00:00;+01:00
GB;United Kingdom;EN;1019347304;England;South West England;City of Bristol;;Arnos Vale;BS4 3EX;;51.442923;-2.562287;15;GB-BST;UKB7;UKK11;GB.BS;E06000023;Europe/London;+00:00;+01:00
GB;United Kingdom;EN;1019347305;England;South West England;City of Bristol;;Arnos Vale;BS4 3EY;;51.442966;-2.562647;16;GB-BST;UKB7;UKK11;GB.BS;E06000023;Europe/London;+00:00;+01:00
GB;United Kingdom;EN;1019347306;England;South West England;City of Bristol;;Arnos Vale;BS4 3EZ;;51.442257;-2.562336;17;GB-BST;UKB7;UKK11;GB.BS;E06000023;Europe/London;+00:00;+01:00
GB;United Kingdom;EN;1030868299;England;South West England;City of Bristol;;Arnos Vale;BS4 3HQ;;51.441518;-2.560831;19;GB-BST;UKB7;UKK11;GB.BS;E06000023;Europe/London;+00:00;+01:00
GB;United Kingdom;EN;1018985366;England;South West England;City of Bristol;;Ashley Down;BS7 9HY;;51.481658;-2.580922;47;GB-BST;UKB7;UKK11;GB.BS;E06000023;Europe/London;+00:00;+01:00
GB;United Kingdom;EN;1018985367;England;South West England;City of Bristol;;Ashley Down;BS7 9HZ;;51.481890;-2.581242;47;GB-BST;UKB7;UKK11;GB.BS;E06000023;Europe/London;+00:00;+01:00
GB;United Kingdom;EN;1018985368;England;South West England;City of Bristol;;Ashley Down;BS7 9LA;;51.479045;-2.578412;46;GB-BST;UKB7;UKK11;GB.BS;E06000023;Europe/London;+00:00;+01:00
GB;United Kingdom;EN;1018985369;England;South West England;City of Bristol;;Ashley Down;BS7 9LB;;51.478951;-2.577432;42;GB-BST;UKB7;UKK11;GB.BS;E06000023;Europe/London;+00:00;+01:00
GB;United Kingdom;EN;1018985370;England;South West England;City of Bristol;;Ashley Down;BS7 9LF;;51.480238;-2.578989;43;GB-BST;UKB7;UKK11;GB.BS;E06000023;Europe/London;+00:00;+01:00
GB;United Kingdom;EN;1018985371;England;South West England;City of Bristol;;Ashley Down;BS7 9LG;;51.481189;-2.579361;44;GB-BST;UKB7;UKK11;GB.BS;E06000023;Europe/London;+00:00;+01:00
GB;United Kingdom;EN;1018985372;England;South West England;City of Bristol;;Ashley Down;BS7 9LP;;51.477958;-2.578154;54;GB-BST;UKB7;UKK11;GB.BS;E06000023;Europe/London;+00:00;+01:00
GB;United Kingdom;EN;1018985373;England;South West England;City of Bristol;;Ashley Down;BS7 9LQ;;51.480173;-2.579435;44;GB-BST;UKB7;UKK11;GB.BS;E06000023;Europe/London;+00:00;+01:00
GB;United Kingdom;EN;1018984168;England;South West England;City of Bristol;;Ashton;BS3 2NR;;51.433716;-2.612336;19;GB-BST;UKB7;UKK11;GB.BS;E06000023;Europe/London;+00:00;+01:00
GB;United Kingdom;EN;1018984169;England;South West England;City of Bristol;;Ashton;BS3 2SX;;51.431830;-2.613720;25;GB-BST;UKB7;UKK11;GB.BS;E06000023;Europe/London;+00:00;+01:00
GB;United Kingdom;EN;1018984170;England;South West England;City of Bristol;;Ashton Gate;BS3 2EE;;51.441428;-2.618065;9;GB-BST;UKB7;UKK11;GB.BS;E06000023;Europe/London;+00:00;+01:00
GB;United Kingdom;EN;1018984171;England;South West England;City of Bristol;;Ashton Gate;BS3 2EF;;51.441650;-2.618600;7;GB-BST;UKB7;UKK11;GB.BS;E06000023;Europe/London;+00:00;+01:00
GB;United Kingdom;EN;1030145996;England;South West England;City of Bristol;;Avonmouth;BS11 0YT;;51.521727;-2.686894;7;GB-BST;UKB7;UKK11;GB.BS;E06000023;Europe/London;+00:00;+01:00
GB;United Kingdom;EN;1019341089;England;South West England;City of Bristol;;Avonmouth;BS11 9AA;;51.500465;-2.700058;9;GB-BST;UKB7;UKK11;GB.BS;E06000023;Europe/London;+00:00;+01:00
GB;United Kingdom;EN;1019341090;England;South West England;City of Bristol;;Avonmouth;BS11 9AD;;51.500246;-2.700602;11;GB-BST;UKB7;UKK11;GB.BS;E06000023;Europe/London;+00:00;+01:00
GB;United Kingdom;EN;1031002656;England;South West England;City of Bristol;;Avonmouth;BS11 9AF;;51.519839;-2.692890;7;GB-BST;UKB7;UKK11;GB.BS;E06000023;Europe/London;+00:00;+01:00
GB;United Kingdom;EN;1031204287;England;South West England;City of Bristol;;Avonmouth;BS11 9AG;;51.516882;-2.692672;6;GB-BST;UKB7;UKK11;GB.BS;E06000023;Europe/London;+00:00;+01:00
GB;United Kingdom;EN;1019341092;England;South West England;City of Bristol;;Avonmouth;BS11 9AH;;51.500475;-2.701384;9;GB-BST;UKB7;UKK11;GB.BS;E06000023;Europe/London;+00:00;+01:00
GB;United Kingdom;EN;1019341093;England;South West England;City of Bristol;;Avonmouth;BS11 9AL;;51.501023;-2.701479;7;GB-BST;UKB7;UKK11;GB.BS;E06000023;Europe/London;+00:00;+01:00
GB;United Kingdom;EN;1019341094;England;South West England;City of Bristol;;Avonmouth;BS11 9AN;;51.501278;-2.700834;7;GB-BST;UKB7;UKK11;GB.BS;E06000023;Europe/London;+00:00;+01:00
GB;United Kingdom;EN;1019341095;England;South West England;City of Bristol;;Avonmouth;BS11 9AP;;51.501928;-2.701925;9;GB-BST;UKB7;UKK11;GB.BS;E06000023;Europe/London;+00:00;+01:00
GB;United Kingdom;EN;1019341096;England;South West England;City of Bristol;;Avonmouth;BS11 9AQ;;51.499959;-2.700497;11;GB-BST;UKB7;UKK11;GB.BS;E06000023;Europe/London;+00:00;+01:00
GB;United Kingdom;EN;1019341097;England;South West England;City of Bristol;;Avonmouth;BS11 9AR;;51.500884;-2.700555;10;GB-BST;UKB7;UKK11;GB.BS;E06000023;Europe/London;+00:00;+01:00
GB;United Kingdom;EN;1019341098;England;South West England;City of Bristol;;Avonmouth;BS11 9AS;;51.500775;-2.700827;9;GB-BST;UKB7;UKK11;GB.BS;E06000023;Europe/London;+00:00;+01:00
GB;United Kingdom;EN;1019341099;England;South West England;City of Bristol;;Avonmouth;BS11 9AW;;51.501976;-2.701508;9;GB-BST;UKB7;UKK11;GB.BS;E06000023;Europe/London;+00:00;+01:00
GB;United Kingdom;EN;1031143797;England;South West England;City of Bristol;;Avonmouth;BS11 9BN;;51.525262;-2.689700;9;GB-BST;UKB7;UKK11;GB.BS;E06000023;Europe/London;+00:00;+01:00
GB;United Kingdom;EN;1031087811;England;South West England;City of Bristol;;Avonmouth;BS11 9BP;;51.521660;-2.692153;7;GB-BST;UKB7;UKK11;GB.BS;E06000023;Europe/London;+00:00;+01:00
GB;United Kingdom;EN;1031193043;England;South West England;City of Bristol;;Avonmouth;BS11 9BY;;51.520039;-2.689477;8;GB-BST;UKB7;UKK11;GB.BS;E06000023;Europe/London;+00:00;+01:00
GB;United Kingdom;EN;1019341102;England;South West England;City of Bristol;;Avonmouth;BS11 9DB;;51.493637;-2.693054;9;GB-BST;UKB7;UKK11;GB.BS;E06000023;Europe/London;+00:00;+01:00
GB;United Kingdom;EN;1030991881;England;South West England;City of Bristol;;Avonmouth;BS11 9DQ;;51.502909;-2.698799;11;GB-BST;UKB7;UKK11;GB.BS;E06000023;Europe/London;+00:00;+01:00
GB;United Kingdom;EN;1031037349;England;South West England;City of Bristol;;Avonmouth;BS11 9DX;;51.500479;-2.702119;9;GB-BST;UKB7;UKK11;GB.BS;E06000023;Europe/London;+00:00;+01:00
