,iso,country,language,id,region1,region2,region3,locality,Postcode,Postcode Latitude,Postcode Longitude,elevation,iso2,fips,nuts,stat,Postcode2,Locality Latitude,Locality Longitude
0,GB,United Kingdom,EN,1031007952,England,South West England,City of Bristol,Arnos Vale,BS4 3AP,51.441487,-2.5618090000000002,24,GB-BST,UKB7,UKK11,E06000023,BS4 3,51.442993736842105,-2.564195684210526
1,GB,United Kingdom,EN,1029815012,England,South West England,City of Bristol,Arnos Vale,BS4 3AQ,51.443954999999995,-2.564616,11,GB-BST,UKB7,UKK11,E06000023,BS4 3,51.442993736842105,-2.564195684210526
2,GB,United Kingdom,EN,1029815013,England,South West England,City of Bristol,Arnos Vale,BS4 3AR,51.443956,-2.564616,11,GB-BST,UKB7,UKK11,E06000023,BS4 3,51.442993736842105,-2.564195684210526
3,GB,United Kingdom,EN,1029815015,England,South West England,City of Bristol,Arnos Vale,BS4 3AS,51.44399,-2.564565,12,GB-BST,UKB7,UKK11,E06000023,BS4 3,51.442993736842105,-2.564195684210526
4,GB,United Kingdom,EN,1029815017,England,South West England,City of Bristol,Arnos Vale,BS4 3AW,51.443954999999995,-2.564616,11,GB-BST,UKB7,UKK11,E06000023,BS4 3,51.442993736842105,-2.564195684210526
5,GB,United Kingdom,EN,1031129822,England,South West England,City of Bristol,Arnos Vale,BS4 3AX,51.443912,-2.562328,12,GB-BST,UKB7,UKK11,E06000023,BS4 3,51.442993736842105,-2.564195684210526
6,GB,United Kingdom,EN,1019347295,England,South West England,City of Bristol,Arnos Vale,BS4 3BD,51.443289,-2.560996,13,GB-BST,UKB7,UKK11,E06000023,BS4 3,51.442993736842105,-2.564195684210526
7,GB,United Kingdom,EN,1019347296,England,South West England,City of Bristol,Arnos Vale,BS4 3EA,51.443115999999996,-2.5669939999999998,17,GB-BST,UKB7,UKK11,E06000023,BS4 3,51.442993736842105,-2.564195684210526
8,GB,United Kingdom,EN,1019347297,England,South West England,City of Bristol,Arnos Vale,BS4 3EH,51.443308,-2.568148,10,GB-BST,UKB7,UKK11,E06000023,BS4 3,51.442993736842105,-2.564195684210526
9,GB,United Kingdom,EN,1019347298,England,South West England,City of Bristol,Arnos Vale,BS4 3EN,51.442669,-2.5683700000000003,21,GB-BST,UKB7,UKK11,E06000023,BS4 3,51.442993736842105,-2.564195684210526
10,GB,United Kingdom,EN,1019347299,England,South West England,City of Bristol,Arnos Vale,BS4 3EQ,51.442578000000005,-2.5703259999999997,27,GB-BST,UKB7,UKK11,E06000023,BS4 3,51.442993736842105,-2.564195684210526
11,GB,United Kingdom,EN,1019347300,England,South West England,City of Bristol,Arnos Vale,BS4 3ES,51.44307,-2.5635689999999998,15,GB-BST,UKB7,UKK11,E06000023,BS4 3,51.442993736842105,-2.564195684210526
12,GB,United Kingdom,EN,1019347301,England,South West England,City of Bristol,Arnos Vale,BS4 3ET,51.443034999999995,-2.563195,16,GB-BST,UKB7,UKK11,E06000023,BS4 3,51.442993736842105,-2.564195684210526
13,GB,United Kingdom,EN,1019347302,England,South West England,City of Bristol,Arnos Vale,BS4 3EU,51.442352,-2.563244,20,GB-BST,UKB7,UKK11,E06000023,BS4 3,51.442993736842105,-2.564195684210526
14,GB,United Kingdom,EN,1019347303,England,South West England,City of Bristol,Arnos Vale,BS4 3EW,51.442545,-2.564225,21,GB-BST,UKB7,UKK11,E06000023,BS4 3,51.442993736842105,-2.564195684210526
15,GB,United Kingdom,EN,1019347304,England,South West England,City of Bristol,Arnos Vale,BS4 3EX,51.442923,-2.562287,15,GB-BST,UKB7,UKK11,E06000023,BS4 3,51.442993736842105,-2.564195684210526
16,GB,United Kingdom,EN,1019347305,England,South West England,City of Bristol,Arnos Vale,BS4 3EY,51.442966,-2.562647,16,GB-BST,UKB7,UKK11,E06000023,BS4 3,51.442993736842105,-2.564195684210526
17,GB,United Kingdom,EN,1019347306,England,South West England,City of Bristol,Arnos Vale,BS4 3EZ,51.442257,-2.562336,17,GB-BST,UKB7,UKK11,E06000023,BS4 3,51.442993736842105,-2.564195684210526
18,GB,United Kingdom,EN,1030868299,England,South West England,City of Bristol,Arnos Vale,BS4 3HQ,51.441518,-2.5608310000000003,19,GB-BST,UKB7,UKK11,E06000023,BS4 3,51.442993736842105,-2.564195684210526
19,GB,United Kingdom,EN,1018985366,England,South West England,City of Bristol,Ashley Down,BS7 9HY,51.481658,-2.580922,47,GB-BST,UKB7,UKK11,E06000023,BS7 9,51.48013775,-2.579243375
20,GB,United Kingdom,EN,1018985367,England,South West England,City of Bristol,Ashley Down,BS7 9HZ,51.48189,-2.581242,47,GB-BST,UKB7,UKK11,E06000023,BS7 9,51.48013775,-2.579243375
21,GB,United Kingdom,EN,1018985368,England,South West England,City of Bristol,Ashley Down,BS7 9LA,51.479045,-2.5784119999999997,46,GB-BST,UKB7,UKK11,E06000023,BS7 9,51.48013775,-2.579243375
22,GB,United Kingdom,EN,1018985369,England,South West England,City of Bristol,Ashley Down,BS7 9LB,51.478951,-2.577432,42,GB-BST,UKB7,UKK11,E06000023,BS7 9,51.48013775,-2.579243375
23,GB,United Kingdom,EN,1018985370,England,South West England,City of Bristol,Ashley Down,BS7 9LF,51.480238,-2.578989,43,GB-BST,UKB7,UKK11,E06000023,BS7 9,51.48013775,-2.579243375
24,GB,United Kingdom,EN,1018985371,England,South West England,City of Bristol,Ashley Down,BS7 9LG,51.481189,-2.579361,44,GB-BST,UKB7,UKK11,E06000023,BS7 9,51.48013775,-2.579243375
25,GB,United Kingdom,EN,1018985372,England,South West England,City of Bristol,Ashley Down,BS7 9LP,51.477958,-2.578154,54,GB-BST,UKB7,UKK11,E06000023,BS7 9,51.48013775,-2.579243375
26,GB,United Kingdom,EN,1018985373,England,South West England,City of Bristol,Ashley Down,BS7 9LQ,51.480173,-2.5794349999999997,44,GB-BST,UKB7,UKK11,E06000023,BS7 9,51.48013775,-2.579243375
27,GB,United Kingdom,EN,1018984168,England,South West England,City of Bristol,Ashton,BS3 2NR,51.433716,-2.612336,19,GB-BST,UKB7,UKK11,E06000023,BS3 2,51.432773,-2.613028
